cleaned,Liked
wow love place,1
crust not good,0
not tasti textur nasti,0
stop late may bank holiday rick steve recommend love,1
select menu great price,1
get angri want damn pho,0
honeslti tast fresh,0
potato like rubber could tell made ahead time kept warmer,0
fri great,1
great touch,1
servic prompt,1
would not go back,0
cashier care ever say still end wayyy overpr,0
tri cape cod ravoli chicken cranberri mmmm,1
disgust pretti sure human hair,0
shock sign indic cash,0
highli recommend,1
waitress littl slow servic,0
place not worth time let alon vega,0
not like,0
burritto blah,0
food amaz,1
servic also cute,1
could care less interior beauti,1
perform,1
right red velvet cake ohhh stuff good,1
never brought salad ask,0
hole wall great mexican street taco friendli staff,1
took hour get food tabl restaur food luke warm sever run around like total overwhelm,0
worst salmon sashimi,0
also combo like burger fri beer decent deal,1
like final blow,0
found place accid could not happier,1
seem like good quick place grab bite familiar pub food favor look elsewher,0
overal like place lot,1
redeem qualiti restaur inexpens,1
ampl portion good price,1
poor servic waiter made feel like stupid everi time came tabl,0
first visit hiro delight,1
servic suck,0
shrimp tender moist,1
not deal good enough would drag establish,0
hard judg whether side good gross melt styrofoam want eat fear get sick,0
posit note server attent provid great servic,1
frozen puck disgust worst peopl behind regist,0
thing like prime rib dessert section,1
bad food damn gener,0
burger good beef cook right,1
want sandwich go firehous,1
side greek salad greek dress tasti pita hummu refresh,1
order duck rare pink tender insid nice char outsid,1
came run us realiz husband left sunglass tabl,1
chow mein good,1
horribl attitud toward custom talk one custom enjoy food,0
portion huge,1
love friendli server great food wonder imagin menu,1
heart attack grill downtown vega absolut flat line excus restaur,0
not much seafood like string pasta bottom,0
salad right amount sauc not power scallop perfectli cook,1
rip banana not rip petrifi tasteless,0
least think refil water struggl wave minut,0
place receiv star appet,1
cocktail handmad delici,1
definit go back,1
glad found place,1
great food servic huge portion give militari discount,1
alway great time do gringo,1
updat went back second time still amaz,1
got food appar never heard salt batter fish chewi,0
great way finish great,1
deal includ tast drink jeff went beyond expect,1
realli realli good rice time,1
servic meh,0
took min get milkshak noth chocol milk,0
guess known place would suck insid excalibur use common sens,0
scallop dish quit appal valu well,0
time bad custom servic,0
sweet potato fri good season well,1
today second time lunch buffet pretti good,1
much good food vega feel cheat wast eat opportun go rice compani,0
come like experienc underwhelm relationship parti wait person ask break,0
walk place smell like old greas trap other eat,0
turkey roast beef bland,0
place,1
pan cake everyon rave tast like sugari disast tailor palat six year old,0
love pho spring roll oh yummi tri,1
poor batter meat ratio made chicken tender unsatisfi,0
say food amaz,1
omelet die,1
everyth fresh delici,1
summari larg disappoint dine experi,0
like realli sexi parti mouth outrag flirt hottest person parti,1
never hard rock casino never ever step forward,0
best breakfast buffet,1
say bye bye tip ladi,0
never go,0
back,1
food arriv quickli,1
not good,0
side cafe serv realli good food,1
server fantast found wife love roast garlic bone marrow ad extra meal anoth marrow go,1
good thing waiter help kept bloddi mari come,1
best buffet town price cannot beat,1
love mussel cook wine reduct duck tender potato dish delici,1
one better buffet,1
went tigerlilli fantast afternoon,1
food delici bartend attent person got great deal,1
ambienc wonder music play,1
go back next trip,1
sooooo good,1
real sushi lover let honest yama not good,0
least min pass us order food arriv busi,0
realli fantast thai restaur definit worth visit,1
nice spici tender,1
good price,1
check,1
pretti gross,0
better atmospher,0
kind hard mess steak,0
although much like look sound place actual experi bit disappoint,0
know place manag serv blandest food ever eaten prepar indian cuisin,0
worst servic boot least worri,0
servic fine waitress friendli,1
guy steak steak love son steak best worst place said best steak ever eaten,1
thought ventur away get good sushi place realli hit spot night,1
host staff lack better word bitch,0
bland not like place number reason want wast time bad review leav,0
phenomen food servic ambianc,1
return,0
definit worth ventur strip pork belli return next time vega,1
place way overpr mediocr food,0
penn vodka excel,1
good select food includ massiv meatloaf sandwich crispi chicken wrap delish tuna melt tasti burger,1
manag rude,0
delici nyc bagel good select cream chees real lox caper even,1
great subway fact good come everi subway not meet expect,1
serious solid breakfast,1
one best bar food vega,1
extrem rude realli mani restaur would love dine weekend vega,0
drink never empti made realli great menu suggest,1
,0
waiter help friendli rare check us,0
husband ate lunch disappoint food servic,0
red curri much bamboo shoot tasti,0
nice blanket moz top feel like done cover subpar food,1
bathroom clean place well decor,1
menu alway chang food qualiti go servic extrem slow,0
servic littl slow consid serv peopl server food come slow pace,0
give thumb,0
watch waiter pay lot attent tabl ignor us,0
fianc came middl day greet seat right away,1
great restaur mandalay bay,1
wait forti five minut vain,0
crostini came salad stale,0
highlight great qualiti nigiri,1
staff friendli joint alway clean,1
differ cut piec day still wonder tender well well flavor,1
order voodoo pasta first time realli excel pasta sinc go gluten free sever year ago,1
place good,1
unfortun must hit bakeri leftov day everyth order stale,0
came back today sinc reloc still not impress,0
seat immedi,1
menu divers reason price,1
avoid cost,0
restaur alway full never wait,1
delici,1
place hand one best place eat phoenix metro area,1
go look good food,0
never treat bad,0
bacon hella salti,1
also order spinach avocado salad ingredi sad dress liter zero tast,0
realli vega fine dine use right menu hand ladi price list,1
waitress friendli,1
lordi khao soi dish not miss curri lover,1
everyth menu terrif also thrill made amaz accommod vegetarian daughter,1
perhap caught night judg review not inspir go back,0
servic leav lot desir,0
atmospher modern hip maintain touch cozi,1
not weekli haunt definit place come back everi,1
liter sat minut one ask take order,0
burger absolut flavor meat total bland burger overcook charcoal flavor,0
also decid not send back waitress look like verg heart attack,0
dress treat rude,0
probabl dirt,0
love place hit spot want someth healthi not lack quantiti flavor,1
order lemon raspberri ice cocktail also incred,1
food suck expect suck could imagin,0
interest decor,1
realli like crepe station,1
also serv hot bread butter home made potato chip bacon bit top origin good,1
watch prepar delici food,1
egg roll fantast,1
order arriv one gyro miss,0
salad wing ice cream dessert left feel quit satisfi,1
not realli sure joey vote best hot dog valley reader phoenix magazin,0
best place go tasti bowl pho,1
live music friday total blow,0
never insult felt disrespect,0
friendli staff,1
worth drive,1
heard good thing place exceed everi hope could dream,1
food great serivc,1
warm beer help,0
great brunch spot,1
servic friendli invit,1
good lunch spot,1
live sinc first last time step foot place,0
worst experi ever,0
must night place,0
side delish mix mushroom yukon gold pure white corn beateou,1
bug never show would given sure side wall bug climb kitchen,0
minut wait salad realiz come time soon,0
friend love salmon tartar,1
go back,0
extrem tasti,1
waitress good though,1
soggi not good,0
jamaican mojito delici,1
small not worth price,0
food rich order accordingli,1
shower area outsid rins not take full shower unless mind nude everyon see,0
servic bit lack,0
lobster bisqu bussel sprout risotto filet need salt pepper cours none tabl,0
hope bode go busi someon cook come,0
either cold not enough flavor bad,0
love bacon wrap date,1
unbeliev bargain,1
folk otto alway make us feel welcom special,1
main also uninspir,0
place first pho amaz,1
wonder experi made place must stop whenev town,1
food bad enough enjoy deal world worst annoy drunk peopl,0
fun chef,1
order doubl cheeseburg got singl patti fall apart pictur upload yeah still suck,0
great place coupl drink watch sport event wall cover tv,1
possibl give zero star,0
descript said yum yum sauc anoth said eel sauc yet anoth said spici mayo well none roll sauc,0
say would hardest decis honestli dish tast suppos tast amaz,1
not roll eye may stay not sure go back tri,0
everyon attent provid excel custom servic,1
horribl wast time money,0
dish quit flavour,1
time side restaur almost empti excus,0
busi either also build freez cold,0
like review said pay eat place,0
drink took close minut come one point,0
serious flavor delight folk,1
much better ayc sushi place went vega,1
light dark enough set mood,1
base sub par servic receiv effort show gratitud busi go back,0
owner realli great peopl,1
noth privileg work eat,0
greek dress creami flavor,1
overal think would take parent place made similar complaint silent felt,0
pizza good peanut sauc tasti,1
tabl servic pretti fast,1
fantast servic,1
well would given godfath zero star possibl,0
know make,1
tough short flavor,0
hope place stick around,1
bar vega not ever recal charg tap water,0
restaur atmospher exquisit,1
good servic clean inexpens boot,1
seafood fresh gener portion,1
plu buck,1
servic not par either,0
thu far visit twice food absolut delici time,1
good year ago,1
self proclaim coffe cafe wildli disappoint,0
veggitarian platter world,1
cant go wrong food,1
beat,1
stop place madison ironman friendli kind staff,1
chef friendli good job,1
better not dedic boba tea spot even jenni pho,0
like patio servic outstand,1
goat taco skimp meat wow flavor,1
think not,0
mac salad pretti bland not get,0
went bachi burger friend recommend not disappoint,1
servic stink,0
wait wait,0
place not qualiti sushi not qualiti restaur,0
would definit recommend wing well pizza,1
great pizza salad,1
thing went wrong burn saganaki,0
wait hour breakfast could done time better home,0
place amaz,1
hate disagre fellow yelper husband disappoint place,0
wait hour never got either pizza mani around us came later,0
know slow,0
staff great food delish incred beer select,1
live neighborhood disappoint back conveni locat,0
know pull pork could soooo delici,1
get incred fresh fish prepar care,1
go gave star rate pleas know third time eat bachi burger write review,0
love fact everyth menu worth,1
never dine place,0
food excel servic good,1
good beer drink select good food select,1
pleas stay away shrimp stir fri noodl,0
potato chip order sad could probabl count mani chip box probabl around,0
food realli bore,0
good servic check,1
greedi corpor never see anoth dime,0
never ever go back,0
much like go back get pass atroci servic never return,0
summer dine charm outdoor patio delight,1
not expect good,1
fantast food,1
order toast english muffin came untoast,0
food good,1
never go back,0
great food price high qualiti hous made,1
bu boy hand rude,0
point friend basic figur place joke mind make publicli loudli known,0
back good bbq lighter fare reason price tell public back old way,1
consid two us left full happi go wrong,1
bread made hous,1
downsid servic,0
also fri without doubt worst fri ever,0
servic except food good review,1
coupl month later return amaz meal,1
favorit place town shawarrrrrrma,1
black eye pea sweet potato unreal,1
disappoint,1
could serv vinaigrett may make better overal dish still good,1
go far mani place never seen restaur serv egg breakfast especi,0
mom got home immedi got sick bite salad,0
server not pleasant deal alway honor pizza hut coupon,0
truli unbeliev good glad went back,1
fantast servic pleas atmospher,1
everyth gross,0
love place,1
great servic food,1
first bathroom locat dirti seat cover not replenish plain yucki,0
burger got gold standard burger kind disappoint,0
omg food delicioso,1
noth authent place,0
spaghetti noth special whatsoev,0
dish salmon best great,1
veget fresh sauc feel like authent thai,1
worth drive tucson,1
select probabl worst seen vega none,0
pretti good beer select,1
place like chipotl better,1
classi warm atmospher fun fresh appet succul steak basebal steak,1
star brick oven bread app,1
eaten multipl time time food delici,1
sat anoth ten minut final gave left,0
terribl,0
everyon treat equal special,1
take min pancak egg,0
delici,1
good side staff genuin pleasant enthusiast real treat,1
sadli gordon ramsey steak place shall sharpli avoid next trip vega,0
alway even wonder food delici,1
best fish ever life,1
bathroom next door nice,1
buffet small food offer bland,0
outstand littl restaur best food ever tast,1
pretti cool would say,1
definit turn doubt back unless someon els buy,0
server great job handl larg rowdi tabl,1
find wast food despic food,0
wife lobster bisqu soup lukewarm,0
would come back sushi crave vega,1
staff great ambianc great,1
deserv star,1
left stomach ach felt sick rest day,0
drop ball,0
dine space tini elegantli decor comfort,1
custom order way like usual eggplant green bean stir fri love,1
bean rice mediocr best,0
best taco town far,1
took back money got outta,0
interest part town place amaz,1
rude inconsider manag,0
staff not friendli wait time serv horribl one even say hi first minut,0
back,0
great dinner,1
servic outshin definit recommend halibut,1
food terribl,0
never ever go back told mani peopl happen,0
recommend unless car break front starv,0
come back everi time vega,1
place deserv one star food,0
disgrac,0
def come back bowl next time,1
want healthi authent ethic food tri place,1
continu come ladi night andddd date night highli recommend place anyon area,1
sever time past experi alway great,1
walk away stuf happi first vega buffet experi,1
servic excel price pretti reason consid vega locat insid crystal shop mall aria,1
summar food incred nay transcend noth bring joy quit like memori pneumat condiment dispens,1
probabl one peopl ever go ian not like,0
kid pizza alway hit lot great side dish option kiddo,1
servic perfect famili atmospher nice see,1
cook perfect servic impecc,1
one simpli disappoint,0
overal disappoint qualiti food bouchon,0
account know get screw,0
great place eat remind littl mom pop shop san francisco bay area,1
today first tast buldogi gourmet hot dog tell ever thought possibl,1
left frustrat,0
definit soon,1
food realli good got full petti fast,1
servic fantast,1
total wast time,0
know kind best ice tea,1
come hungri leav happi stuf,1
servic give star,0
assur disappoint,1
take littl bad servic food suck,0
gave tri eat crust teeth still sore,0
complet gross,0
realli enjoy eat,1
first time go think quickli becom regular,1
server nice even though look littl overwhelm need stay profession friendli end,1
dinner companion told everyth fresh nice textur tast,1
ground right next tabl larg smear step track everywher pile green bird poop,0
furthermor even find hour oper websit,0
tri like place time think done,0
mistak,0
complaint,1
serious good pizza expert connisseur topic,1
waiter jerk,0
strike want rush,0
nicest restaur owner ever come across,1
never come,0
love biscuit,1
servic quick friendli,1
order appet took minut pizza anoth minut,0
absolutley fantast,1
huge awkward lb piec cow th gristl fat,0
definit come back,1
like steiner dark feel like bar,1
wow spici delici,1
not familiar check,1
take busi dinner dollar elsewher,0
love go back,1
anyway fs restaur wonder breakfast lunch,1
noth special,0
day week differ deal delici,1
not mention combin pear almond bacon big winner,1
not back,0
sauc tasteless,0
food delici spici enough sure ask spicier prefer way,1
ribey steak cook perfectli great mesquit flavor,1
think go back anytim soon,0
food gooodd,1
far sushi connoisseur definit tell differ good food bad food certainli bad food,0
insult,0
last time lunch bad,0
chicken wing contain driest chicken meat ever eaten,0
food good enjoy everi mouth enjoy relax venu coupl small famili group etc,1
nargil think great,1
best tater tot southwest,1
love place,1
definit not worth paid,0
vanilla ice cream creami smooth profiterol choux pastri fresh enough,1
im az time new spot,1
manag worst,0
insid realli quit nice clean,1
food outstand price reason,1
think run back carli anytim soon food,0
due fact took minut acknowledg anoth minut get food kept forget thing,0
love margarita,1
first vega buffet not disappoint,1
good though,1
one note ventil could use upgrad,0
great pork sandwich,1
wast time,0
total letdown would much rather go camelback flower shop cartel coffe,0
third chees friend burger cold,0
enjoy pizza brunch,1
steak well trim also perfectli cook,1
group claim would handl us beauti,1
love,1
ask bill leav without eat bring either,0
place jewel la vega exactli hope find nearli ten year live,1
seafood limit boil shrimp crab leg crab leg definit not tast fresh,0
select food not best,0
delici absolut back,1
small famili restaur fine dine establish,1
toro tartar cavier extraordinari like thinli slice wagyu white truffl,1
dont think back long time,0
attach ga station rare good sign,0
awesom,1
back mani time soon,1
menu much good stuff could not decid,1
wors humili worker right front bunch horribl name call,0
conclus fill meal,1
daili special alway hit group,1
tragedi struck,0
pancak also realli good pretti larg,1
first crawfish experi delici,1
monster chicken fri steak egg time favorit,1
waitress sweet funni,1
also tast mom multi grain pumpkin pancak pecan butter amaz fluffi delici,1
rather eat airlin food serious,0
cant say enough good thing place,1
ambianc incred,1
waitress manag friendli,1
would not recommend place,0
overal impress noca,0
gyro basic lettuc,0
terribl servic,0
thoroughli disappoint,0
much pasta love homemad hand made pasta thin pizza,1
give tri happi,1
far best cheesecurd ever,1
reason price also,1
everyth perfect night,1
food good typic bar food,1
drive get,0
first glanc love bakeri cafe nice ambianc clean friendli staff,1
anyway not think go back,0
point finger item menu order disappoint,1
oh thing beauti restaur,1
gone go,1
greasi unhealthi meal,0
first time might last,0
burger amaz,1
similarli deliveri man not say word apolog food minut late,0
way expens,0
sure order dessert even need pack go tiramisu cannoli die,1
first time wait next,1
bartend also nice,1
everyth good tasti,1
place two thumb way,1
best place vega breakfast check sat sun,1
love authent mexican food want whole bunch interest yet delici meat choos need tri place,1
terribl manag,0
excel new restaur experienc frenchman,1
zero star would give zero star,0
great steak great side great wine amaz dessert,1
worst martini ever,0
steak shrimp opinion best entre gc,1
opportun today sampl amaz pizza,1
wait thirti minut seat although vacant tabl folk wait,0
yellowtail carpaccio melt mouth fresh,1
tri go back even empti,0
go eat potato found stranger hair,0
spici enough perfect actual,1
last night second time dine happi decid go back,1
not even hello right,0
dessert bit strang,0
boyfriend came first time recent trip vega could not pleas qualiti food servic,1
realli recommend place go wrong donut place,1
nice ambianc,1
would recommend save room,1
guess mayb went night disgrac,0
howev recent experi particular locat not good,0
know not like restaur someth,0
avoid establish,0
think restaur suffer not tri hard enough,0
tapa dish delici,1
heart place,1
salad bland vinegrett babi green heart palm,0
two felt disgust,0
good time,1
believ place great stop huge belli hanker sushi,1
gener portion great tast,1
never go back place never ever recommend place anyon,0
server went back forth sever time not even much help,0
food delici,1
hour serious,0
consid theft,0
eew locat need complet overhaul,0
recent wit poor qualiti manag toward guest well,0
wait wait wait,0
also came back check us regularli excel servic,1
server super nice check us mani time,1
pizza tast old super chewi not good way,0
swung give tri deepli disappoint,0
servic good compani better,1
staff also friendli effici,1
servic fan quick serv nice folk,1
boy sucker dri,0
rate,0
look authent thai food go els,0
steak recommend,1
pull car wait anoth minut acknowledg,0
great food great servic clean friendli set,1
assur back,1
hate thing much cheap qualiti black oliv,0
breakfast perpar great beauti present giant slice toast lightli dust powder sugar,1
kid play area nasti,0
great place fo take eat,1
waitress friendli happi accomod vegan veggi option,1
omg felt like never eaten thai food dish,1
extrem crumbi pretti tasteless,0
pale color instead nice char flavor,0
crouton also tast homemad extra plu,1
got home see driest damn wing ever,0
regular stop trip phoenix,1
realli enjoy crema caf expand even told friend best breakfast,1
not good money,0
miss wish one philadelphia,1
got sit fairli fast end wait minut place order anoth minut food arriv,0
also best chees crisp town,1
good valu great food great servic,1
ask satisfi meal,1
food good,1
awesom,1
want leav,0
made drive way north scottsdal not one bit disappoint,1
not eat,0
owner realli realli need quit soooooo cheap let wrap freak sandwich two paper not one,0
check place coupl year ago not impress,0
chicken got definit reheat ok wedg cold soggi,0
sorri not get food anytim soon,0
absolut must visit,1
cow tongu cheek taco amaz,1
friend not like bloodi mari,0
despit hard rate busi actual rare give star,0
realli want make experi good one,1
not return,0
chicken pho tast bland,0
disappoint,0
grill chicken tender yellow saffron season,1
drive thru mean not want wait around half hour food somehow end go make us wait wait,0
pretti awesom place,1
ambienc perfect,1
best luck rude non custom servic focus new manag,0
grandmoth make roast chicken better one,0
ask multipl time wine list time ignor went hostess got one,0
staff alway super friendli help especi cool bring two small boy babi,1
four star food guy blue shirt great vibe still let us eat,1
roast beef sandwich tast realli good,1
even drastic sick,0
high qualiti chicken chicken caesar salad,1
order burger rare came done,0
promptli greet seat,1
tri go lunch madhous,0
proven dead wrong sushi bar not qualiti great servic fast food impecc,1
wait hour seat not greatest mood,0
good joint,1
macaron insan good,1
not eat,0
waiter attent friendli inform,1
mayb cold would somewhat edibl,0
place lot promis fail deliv,0
bad experi,0
mistak,0
food averag best,0
great food,1
go back anytim soon,0
disappoint order big bay plater,0
great place relax awesom burger beer,1
perfect sit famili meal get togeth friend,1
not much flavor poorli construct,0
patio seat comfort,1
fri rice dri well,0
hand favorit italian restaur,1
scream legit book somethat also pretti rare vega,1
not fun experi,1
atmospher great love duo violinist play song request,1
person love hummu pita baklava falafel baba ganoush amaz eggplant,1
conveni sinc stay mgm,1
owner super friendli staff courteou,1
great,1
eclect select,1
sweet potato tot good onion ring perfect close,1
staff attent,1
chef gener time even came around twice take pictur,1
owner use work nobu place realli similar half price,1
googl mediocr imagin smashburg pop,0
dont go,0
promis disappoint,1
sushi lover avoid place mean,0
great doubl cheeseburg,1
awesom servic food,1
fantast neighborhood gem,1
wait go back,1
plantain worst ever tast,0
great place highli recommend,1
servic slow not attent,0
gave star give star,1
staff spend time talk,0
dessert panna cotta amaz,1
good food great atmospher,1
damn good steak,1
total brunch fail,0
price reason flavor spot sauc home made slaw not drench mayo,1
decor nice piano music soundtrack pleasant,1
steak amaz rge fillet relleno best seafood plate ever,1
good food good servic,1
absolut amaz,1
probabl back honest,0
definit back,1
sergeant pepper beef sandwich auju sauc excel sandwich well,1
hawaiian breez mango magic pineappl delight smoothi tri far good,1
went lunch servic slow,0
much say place walk expect amaz quickli disappoint,0
mortifi,0
needless say never back,0
anyway food definit not fill price pay expect,0
chip came drip greas mostli not edibl,0
realli impress strip steak,0
go sinc everi meal awesom,1
server nice attent serv staff,1
cashier friendli even brought food,1
work hospit industri paradis valley refrain recommend cibo longer,0
atmospher fun,1
would not recommend other,0
servic quick even go order like like,1
mean realli get famou fish chip terribl,0
said mouth belli still quit pleas,1
not thing,0
thumb,1
read pleas go,0
love grill pizza remind legit italian pizza,1
pro larg seat area nice bar area great simpl drink menu best brick oven pizza homemad dough,1
realli nice atmospher,1
tonight elk filet special suck,0
one bite hook,1
order old classic new dish go time sore disappoint everyth,0
cute quaint simpl honest,1
chicken delici season perfect fri outsid moist chicken insid,1
food great alway compliment chef,1
special thank dylan recommend order yummi tummi,1
awesom select beer,1
great food awesom servic,1
one nice thing ad gratuiti bill sinc parti larger expect tip,1
fli appl juic fli,0
han nan chicken also tasti,1
servic thought good,1
food bare lukewarm must sit wait server bring us,0
ryan bar definit one edinburgh establish revisit,0
nicest chines restaur,1
overal like food servic,1
also serv indian naan bread hummu spici pine nut sauc world,1
probabl never come back recommend,0
friend pasta also bad bare touch,0
tri airport experi tasti food speedi friendli servic,1
love decor chines calligraphi wall paper,1
never anyth complain,1
restaur clean famili restaur feel,1
way fri,0
not sure long stood long enough begin feel awkwardli place,0
open sandwich impress not good way,0
not back,0
warm feel servic felt like guest special treat,1
extens menu provid lot option breakfast,1
alway order vegetarian menu dinner wide array option choos,1
watch price inflat portion get smaller manag attitud grow rapidli,0
wonder lil tapa ambienc made feel warm fuzzi insid,1
got enjoy seafood salad fabul vinegrett,1
wonton thin not thick chewi almost melt mouth,1
level spici perfect spice whelm soup,1
sat right time server get go fantast,1
main thing enjoy crowd older crowd around mid,0
side town definit spot hit,1
wait minut get drink longer get arepa,0
great place eat,1
jalapeno bacon soooo good,1
servic poor that nice,0
food good servic good price good,1
place not clean food oh stale,0
chicken dish ok beef like shoe leather,0
servic beyond bad,0
happi,1
tast like dirt,0
one place phoenix would defin go back,1
block amaz,1
close hous low key non fanci afford price good food,1
hot sour egg flower soup absolut star,1
sashimi poor qualiti soggi tasteless,0
great time famili dinner sunday night,1
food not tasti not say real tradit hunan style,0
bother slow servic,0
flair bartend absolut amaz,1
frozen margarita way sugari tast,0
good order twice,1
nutshel restaraunt smell like combin dirti fish market sewer,0
girlfriend veal bad,0
unfortun not good,0
pretti satifi experi,1
join club get awesom offer via email,1
perfect someon like beer ice cold case even colder,1
bland flavorless good way describ bare tepid meat,0
chain fan beat place easili,0
nacho must,1
not come back,0
mani word say place everyth pretti well,1
staff super nice quick even crazi crowd downtown juri lawyer court staff,1
great atmospher friendli fast servic,1
receiv pita huge lot meat thumb,1
food arriv meh,0
pay hot dog fri look like came kid meal wienerschnitzel not idea good meal,0
classic main lobster roll fantast,1
brother law work mall ate day guess sick night,0
good go review place twice herea tribut place tribut event held last night,1
chip salsa realli good salsa fresh,1
place great,1
mediocr food,0
get insid impress place,1
super pissd,0
servic super friendli,1
sad littl veget overcook,0
place nice surpris,1
golden crispi delici,1
high hope place sinc burger cook charcoal grill unfortun tast fell flat way flat,0
could eat bruschetta day devin,1
not singl employe came see ok even need water refil final serv us food,0
lastli mozzarella stick best thing order,1
first time ever came amaz experi still tell peopl awesom duck,1
server neglig need made us feel unwelcom would not suggest place,0
servic terribl though,0
place overpr not consist boba realli overpr,0
pack,0
love place,1
say dessert yummi,1
food terribl,0
season fruit fresh white peach pure,1
kept get wors wors offici done,0
place honestli blown,0
definit would not eat,0
not wast money,0
love put food nice plastic contain oppos cram littl paper takeout box,1
cr pe delic thin moist,1
aw servic,0
ever go,0
food qualiti horribl,0
price think place would much rather gone,0
servic fair best,0
love sushi found kabuki price hip servic,0
favor stay away dish,0
poor servic,0
one tabl thought food averag worth wait,0
best servic food ever maria server good friendli made day,1
excel,1
paid bill not tip felt server terribl job,0
lunch great experi,1
never bland food surpris consid articl read focus much spice flavor,0
food way overpr portion fuck small,0
recent tri caballero back everi week sinc,1
buck head realli expect better food,0
food came good pace,1
ate twice last visit especi enjoy salmon salad,1
back,0
could not believ dirti oyster,0
place deserv star,0
would not recommend place,0
fact go round star awesom,1
disbelief dish qualifi worst version food ever tast,0
bad day not low toler rude custom servic peopl job nice polit wash dish otherwis,0
potato great biscuit,1
probabl would not go,0
flavor perfect amount heat,1
price reason servic great,1
wife hate meal coconut shrimp friend realli not enjoy meal either,0
fella got huevo ranchero look appeal,0
went happi hour great list wine,1
may say buffet pricey think get pay place get quit lot,1
probabl come back,0
worst food servic,0
place pretti good nice littl vibe restaur,1
talk great custom servic cours back,1
hot dish not hot cold dish close room temp watch staff prepar food bare hand glove everyth deep fri oil,0
love fri bean,1
alway pleasur deal,1
plethora salad sandwich everyth tri get seal approv,1
place awesom want someth light healthi summer,1
sushi strip place go,1
servic great even manag came help tabl,1
feel dine room colleg cook cours high class dine servic slow best,0
start review two star edit give one,0
worst sushi ever eat besid costco,0
excel restaur highlight great servic uniqu menu beauti set,1
boyfriend sat bar complet delight experi,1
weird vibe owner,0
hardli meat,0
better bagel groceri store,0
go place gyro,1
love owner chef one authent japanes cool dude,1
burger good pizza use amaz doughi flavorless,0
found six inch long piec wire salsa,0
servic terribl food mediocr,0
defin enjoy,1
order albondiga soup warm tast like tomato soup frozen meatbal,0
three differ occas ask well done medium well three time got bloodiest piec meat plate,0
two bite refus eat anymor,0
servic extrem slow,0
minut wait got tabl,0
serious killer hot chai latt,1
allergi warn menu waitress absolut clue meal not contain peanut,0
boyfriend tri mediterranean chicken salad fell love,1
rotat beer tap also highlight place,1
price bit concern mellow mushroom,0
worst thai ever,0
stay vega must get breakfast least,1
want first say server great perfect servic,1
pizza select good,1
strawberri tea good,1
highli unprofession rude loyal patron,0
overal great experi,1
